Transaction_ID,Transaction_Date,SKU_ID,Product_Category,Customer_Name,Customer_Segment,List_Price,Invoice_Price,Unit_Cost,Quantity,On_Invoice_Disc,Off_Invoice_Rebate,Freight_Cost
TXN-1024,2026-01-06,VALVE-22,Hydraulics,Conner Group,Distributor,116.61,110.82,61.74,44,5.79,3.81,12.0
TXN-1025,2026-01-23,SEAL-05,Accessories,James-Ferrell,Retail,12.5,10.57,4.51,7,1.93,0.48,14.41
TXN-1026,2026-01-20,VALVE-22,Hydraulics,"Valencia, Smith and Le",Distributor,117.2,105.79,56.6,51,11.41,1.37,29.11
TXN-1027,2026-01-26,PUMP-01,Industrial,"Potter, Mack and Peterson",Mid-Market,515.53,487.81,260.21,14,27.72,1.65,6.56
TXN-1028,2026-01-11,HOSE-09,Accessories,Chavez Ltd,Mid-Market,46.37,42.12,15.2,80,4.25,1.83,17.05
TXN-1029,2026-02-02,VALVE-22,Hydraulics,Stanton-Gill,Distributor,124.99,102.67,56.16,40,22.32,0.75,17.49
TXN-1030,2026-01-19,SEAL-05,Accessories,Harrell LLC,Retail,11.65,8.99,4.82,64,2.66,0.18,11.83
TXN-1031,2026-02-01,SEAL-05,Accessories,"Lynch, Hernandez and Farmer",Distributor,11.42,9.66,4.98,22,1.76,0.38,19.76
TXN-1032,2026-01-20,MOTOR-X,Electronics,"Sellers, George and Burns",Retail,1474.9,1218.29,820.77,34,256.61,6.71,24.43
TXN-1033,2026-01-05,SEAL-05,Accessories,Koch-Decker,Distributor,11.88,11.85,4.62,29,0.03,0.22,15.37
TXN-1034,2026-01-12,HOSE-09,Accessories,Allen PLC,Distributor,43.88,39.38,14.57,49,4.5,1.59,16.12
TXN-1035,2026-02-05,PUMP-01,Industrial,Dennis Inc,Mid-Market,481.49,421.14,263.54,31,60.35,15.56,5.61
TXN-1036,2026-02-06,VALVE-22,Hydraulics,"Cannon, Anderson and Alvarez",Mid-Market,124.67,115.55,56.14,26,9.12,3.38,10.31
TXN-1037,2026-01-21,VALVE-22,Hydraulics,Rose-Obrien,Strategic,114.54,90.54,63.13,65,24.0,0.71,17.12
TXN-1038,2026-02-05,MOTOR-X,Electronics,"Campos, Vaughn and Marquez",Strategic,1528.67,1479.43,723.68,90,49.24,66.18,17.14
TXN-1039,2026-01-15,HOSE-09,Accessories,"Santos, Kim and Holmes",Distributor,47.18,44.52,15.6,28,2.66,1.68,23.9
TXN-1040,2026-01-05,HOSE-09,Accessories,Brown Inc,Retail,44.18,37.42,15.44,60,6.76,1.22,26.46
TXN-1041,2026-01-22,PUMP-01,Industrial,Chapman Inc,Distributor,510.37,403.51,225.94,34,106.86,0.29,7.15
TXN-1042,2026-01-03,VALVE-22,Hydraulics,"Brown, Jones and Johnson",Strategic,116.7,95.27,62.51,11,21.43,3.27,12.58
TXN-1043,2026-01-13,HOSE-09,Accessories,"Young, Caldwell and Lewis",Distributor,46.05,35.53,14.05,100,10.52,1.61,10.6
TXN-1044,2026-01-05,PUMP-01,Industrial,"Johnston, Sanchez and Kennedy",Strategic,518.31,392.17,262.3,31,126.14,2.59,27.71
TXN-1045,2026-01-16,PUMP-01,Industrial,Davis Group,Retail,477.98,392.52,235.72,45,85.46,9.95,25.84
TXN-1046,2026-01-14,VALVE-22,Hydraulics,Owens-Daniel,Strategic,122.09,118.11,55.34,69,3.98,2.3,25.02
TXN-1047,2026-01-25,VALVE-22,Hydraulics,"Garcia, Powell and Morgan",Strategic,116.04,95.66,63.88,73,20.38,0.72,14.61
TXN-1048,2026-02-01,HOSE-09,Accessories,Lee PLC,Strategic,46.0,43.13,15.36,93,2.87,1.75,26.46
TXN-1049,2026-01-17,PUMP-01,Industrial,White-Ford,Mid-Market,504.81,393.86,261.67,38,110.95,5.77,9.15
TXN-1050,2026-02-02,PUMP-01,Industrial,Ramos PLC,Retail,481.12,431.03,239.55,87,50.09,8.16,22.02
TXN-1051,2026-01-04,HOSE-09,Accessories,"Kidd, Huff and Novak",Retail,46.14,36.46,15.09,47,9.68,0.36,14.81
TXN-1052,2026-02-04,SEAL-05,Accessories,Martin Group,Distributor,12.38,10.41,5.12,38,1.97,0.37,16.01
TXN-1053,2026-01-18,HOSE-09,Accessories,Barrera-Martin,Strategic,45.7,37.59,14.04,30,8.11,1.72,27.05
TXN-1054,2026-01-01,VALVE-22,Hydraulics,Baker-Bowers,Mid-Market,121.39,91.55,56.44,47,29.84,2.17,28.35
TXN-1055,2026-01-17,HOSE-09,Accessories,Horton-Cross,Strategic,43.73,39.82,15.19,77,3.91,1.97,13.32
TXN-1056,2026-01-29,MOTOR-X,Electronics,"Higgins, Moore and Phillips",Strategic,1452.55,1127.43,871.88,76,325.12,38.42,8.52
TXN-1057,2026-02-05,HOSE-09,Accessories,"Fitzgerald, Brown and Edwards",Retail,46.54,40.66,15.04,97,5.88,1.9,20.69
TXN-1058,2026-01-02,MOTOR-X,Electronics,Shaw-Farrell,Distributor,1555.14,1431.21,773.86,77,123.93,2.27,19.04
TXN-1059,2026-01-06,VALVE-22,Hydraulics,"Miller, Lopez and Larson",Distributor,124.51,110.79,60.84,29,13.72,2.99,22.5
TXN-1060,2026-01-25,HOSE-09,Accessories,Powell PLC,Strategic,43.65,38.15,15.72,11,5.5,0.69,25.02
TXN-1061,2026-01-10,SEAL-05,Accessories,"Williams, Miller and Sandoval",Distributor,12.43,10.46,5.22,93,1.97,0.2,9.81
TXN-1062,2026-01-21,VALVE-22,Hydraulics,Donovan-Harris,Strategic,125.85,124.26,64.17,59,1.59,3.15,7.33
TXN-1063,2026-01-27,VALVE-22,Hydraulics,Baker and Sons,Strategic,115.44,107.64,62.37,4,7.8,3.19,22.39
TXN-1064,2026-01-25,PUMP-01,Industrial,Bryant-Hickman,Retail,485.92,395.91,250.73,37,90.01,11.21,23.24
TXN-1065,2026-02-04,VALVE-22,Hydraulics,Ellis PLC,Retail,123.21,109.53,63.69,1,13.68,3.48,20.97
TXN-1066,2026-02-06,MOTOR-X,Electronics,Medina PLC,Strategic,1498.73,1252.45,811.37,89,246.28,30.53,24.59
TXN-1067,2026-01-10,PUMP-01,Industrial,Ibarra-Suarez,Retail,521.3,488.79,255.59,17,32.51,1.95,17.25
TXN-1068,2026-01-14,VALVE-22,Hydraulics,Kim PLC,Strategic,115.62,109.31,62.94,35,6.31,3.34,11.14
TXN-1069,2026-01-27,HOSE-09,Accessories,"Riggs, Roman and Rice",Strategic,43.57,32.75,16.33,53,10.82,1.24,25.28
TXN-1070,2026-01-25,VALVE-22,Hydraulics,"Evans, Alvarado and Mcmillan",Strategic,114.04,99.58,63.62,25,14.46,4.79,6.18
TXN-1071,2026-01-05,MOTOR-X,Electronics,Preston Ltd,Distributor,1494.65,1455.36,784.76,57,39.29,40.53,26.68
TXN-1072,2026-01-21,HOSE-09,Accessories,Campbell-Clark,Distributor,43.74,36.75,16.04,35,6.99,1.5,24.19
TXN-1073,2026-01-13,PUMP-01,Industrial,"Walters, Baker and Freeman",Distributor,521.45,394.37,274.35,40,127.08,5.41,11.69
TXN-1074,2026-02-03,HOSE-09,Accessories,Davis Group,Retail,44.39,41.41,16.33,38,2.98,0.87,23.2
TXN-1075,2026-01-31,HOSE-09,Accessories,Smith and Sons,Mid-Market,44.65,37.94,15.03,15,6.71,1.57,23.17
TXN-1076,2026-01-24,SEAL-05,Accessories,Martin-Ramos,Distributor,12.39,9.6,5.17,35,2.79,0.03,14.2
TXN-1077,2026-01-27,PUMP-01,Industrial,"Smith, Jones and Ware",Distributor,490.17,378.47,238.25,94,111.7,16.87,14.73
TXN-1078,2026-02-03,HOSE-09,Accessories,"Johnson, Wood and Tran",Strategic,44.88,44.37,15.14,31,0.51,0.77,26.28
TXN-1079,2026-01-16,PUMP-01,Industrial,Parker Inc,Strategic,507.83,490.49,237.78,16,17.34,11.99,12.14
TXN-1080,2026-02-03,SEAL-05,Accessories,Fleming Ltd,Distributor,11.95,10.1,5.43,99,1.85,0.47,24.08
TXN-1081,2026-01-04,VALVE-22,Hydraulics,"Henson, Russell and Oliver",Distributor,122.35,104.71,59.25,9,17.64,3.16,10.34
TXN-1082,2026-01-06,HOSE-09,Accessories,Hancock and Sons,Distributor,44.46,35.46,14.67,63,9.0,1.67,24.81
TXN-1083,2026-02-02,VALVE-22,Hydraulics,White LLC,Mid-Market,125.37,116.25,60.0,39,9.12,1.29,11.99
TXN-1084,2026-01-29,HOSE-09,Accessories,Pham-Shields,Strategic,45.67,44.69,15.15,74,0.98,1.58,28.0
TXN-1085,2026-01-30,MOTOR-X,Electronics,Moore-Haynes,Retail,1475.28,1331.78,787.2,48,143.5,35.29,29.16
TXN-1086,2026-01-15,HOSE-09,Accessories,Garrison and Sons,Retail,44.09,36.82,14.61,84,7.27,0.19,29.32
TXN-1087,2026-01-08,VALVE-22,Hydraulics,Bailey-Hoover,Retail,119.73,93.52,57.8,58,26.21,1.09,6.37
TXN-1088,2026-02-02,PUMP-01,Industrial,Johnson and Sons,Strategic,523.82,405.14,232.31,31,118.68,2.24,7.18
TXN-1089,2026-01-15,SEAL-05,Accessories,Lin-Rasmussen,Mid-Market,11.61,11.48,5.34,77,0.13,0.47,18.58
TXN-1090,2026-01-11,HOSE-09,Accessories,"Hicks, Frazier and Anthony",Mid-Market,42.92,37.82,14.21,98,5.1,1.12,10.78
TXN-1091,2026-01-13,SEAL-05,Accessories,Wilson LLC,Distributor,11.49,10.15,5.01,33,1.34,0.4,5.45
TXN-1092,2026-01-07,HOSE-09,Accessories,Johnson-Carlson,Retail,44.45,33.88,14.92,53,10.57,0.87,15.52
TXN-1093,2026-01-13,SEAL-05,Accessories,Graham-Joyce,Mid-Market,11.94,10.68,4.64,94,1.26,0.11,13.96
TXN-1094,2026-01-05,VALVE-22,Hydraulics,"Lee, Williams and Graham",Distributor,117.48,88.16,57.02,10,29.32,2.65,15.31
TXN-1095,2026-01-20,HOSE-09,Accessories,"Mcdaniel, Bentley and Mclaughlin",Mid-Market,45.1,40.4,14.02,29,4.7,0.19,23.85
TXN-1096,2026-01-08,PUMP-01,Industrial,Jones-Beck,Mid-Market,480.76,470.11,259.65,71,10.65,11.64,28.22
TXN-1097,2026-01-13,SEAL-05,Accessories,Alvarado-Martinez,Strategic,12.21,9.75,4.75,76,2.46,0.12,6.05
TXN-1098,2026-02-03,MOTOR-X,Electronics,"Parker, Ortiz and Powell",Mid-Market,1553.71,1405.32,813.8,57,148.39,41.78,22.03
TXN-1099,2026-01-11,PUMP-01,Industrial,Lee Ltd,Strategic,501.46,444.32,247.62,40,57.14,5.74,16.0
TXN-1100,2026-02-04,HOSE-09,Accessories,"Adkins, Thompson and Carroll",Retail,46.5,42.59,13.68,74,3.91,2.01,24.43
TXN-1101,2026-01-16,PUMP-01,Industrial,Torres and Sons,Retail,480.4,428.33,251.77,60,52.07,8.79,23.42
TXN-1102,2026-01-16,SEAL-05,Accessories,"Lawson, Morris and Ramos",Distributor,12.38,11.07,5.24,13,1.31,0.49,14.23
TXN-1103,2026-01-25,HOSE-09,Accessories,"Kennedy, Santana and Flynn",Mid-Market,44.32,34.02,14.72,21,10.3,0.43,27.13
TXN-1104,2026-01-07,HOSE-09,Accessories,Campbell Ltd,Strategic,44.18,42.31,13.73,79,1.87,1.69,25.03
TXN-1105,2026-01-24,SEAL-05,Accessories,Davis-Crane,Retail,12.5,10.33,4.67,3,2.17,0.23,16.87
TXN-1106,2026-01-09,PUMP-01,Industrial,Walker-Gonzalez,Strategic,483.82,442.31,252.56,60,41.51,12.16,24.29
TXN-1107,2026-01-01,PUMP-01,Industrial,Riggs PLC,Strategic,490.99,397.29,226.96,72,93.7,13.16,11.73
TXN-1108,2026-02-01,MOTOR-X,Electronics,Gibson Ltd,Distributor,1523.78,1370.08,787.77,100,153.7,58.02,29.13
TXN-1109,2026-01-22,SEAL-05,Accessories,"Horton, Snyder and Sanchez",Mid-Market,11.92,8.96,5.38,10,2.96,0.14,17.77
TXN-1110,2026-01-25,SEAL-05,Accessories,Stafford Inc,Retail,12.59,9.59,4.83,30,3.0,0.27,29.24
TXN-1111,2026-01-29,PUMP-01,Industrial,Thompson Ltd,Strategic,479.02,359.89,265.68,92,119.13,8.16,15.99
TXN-1112,2026-01-20,MOTOR-X,Electronics,Grant Inc,Strategic,1569.36,1451.3,817.78,74,118.06,37.94,9.92
TXN-1113,2026-01-17,MOTOR-X,Electronics,Contreras-Travis,Distributor,1438.13,1124.95,781.74,95,313.18,36.03,6.3
TXN-1114,2026-01-23,MOTOR-X,Electronics,Salazar-Ball,Mid-Market,1505.13,1171.65,868.13,37,333.48,15.78,26.78
TXN-1115,2026-01-19,PUMP-01,Industrial,"Griffin, Moore and Hensley",Mid-Market,479.65,393.47,233.12,14,86.18,3.75,10.21
TXN-1116,2026-01-17,VALVE-22,Hydraulics,Larsen LLC,Strategic,115.72,114.9,56.05,61,0.82,5.25,27.47
TXN-1117,2026-01-29,HOSE-09,Accessories,"Washington, Allen and Gonzales",Strategic,43.57,40.59,13.83,64,2.98,1.18,17.93
TXN-1118,2026-01-27,PUMP-01,Industrial,Nelson LLC,Retail,491.93,413.5,225.48,67,78.43,5.45,28.72
TXN-1119,2026-02-03,PUMP-01,Industrial,Taylor and Sons,Mid-Market,477.25,467.98,239.08,24,9.27,1.97,25.92
TXN-1120,2026-01-15,SEAL-05,Accessories,Mccarthy Inc,Distributor,12.58,11.24,5.27,77,1.34,0.51,14.19
TXN-1121,2026-01-16,SEAL-05,Accessories,Daniels-Perry,Mid-Market,11.56,8.89,4.88,59,2.67,0.35,14.7
TXN-1122,2026-01-08,HOSE-09,Accessories,Price-Carrillo,Retail,44.11,34.2,15.7,14,9.91,0.73,27.22
TXN-1123,2026-02-05,VALVE-22,Hydraulics,Gates PLC,Retail,125.09,108.84,57.95,22,16.25,0.13,9.03
TXN-1124,2026-01-15,HOSE-09,Accessories,Bender LLC,Strategic,43.87,42.51,13.66,54,1.36,1.38,9.16
TXN-1125,2026-01-28,HOSE-09,Accessories,Medina-Navarro,Strategic,43.6,33.24,15.49,2,10.36,0.58,25.92
TXN-1126,2026-01-30,PUMP-01,Industrial,Freeman LLC,Retail,481.58,386.82,260.25,40,94.76,10.44,15.02
TXN-1127,2026-01-17,PUMP-01,Industrial,Price Ltd,Retail,517.41,450.87,253.53,44,66.54,20.18,13.07
TXN-1128,2026-01-26,SEAL-05,Accessories,Ramsey-Pittman,Retail,12.4,10.75,4.75,66,1.65,0.3,12.66
TXN-1129,2026-02-04,SEAL-05,Accessories,"Ferguson, Meadows and Vargas",Mid-Market,11.56,10.0,4.73,67,1.56,0.15,28.73
TXN-1130,2026-01-25,VALVE-22,Hydraulics,Day and Sons,Distributor,114.13,99.58,55.61,24,14.55,4.76,25.16
TXN-1131,2026-02-02,SEAL-05,Accessories,Williams Group,Strategic,12.2,9.27,4.72,21,2.93,0.32,20.56
TXN-1132,2026-01-13,MOTOR-X,Electronics,Murphy-Juarez,Distributor,1457.34,1164.35,815.57,98,292.99,34.11,17.9
TXN-1133,2026-01-15,MOTOR-X,Electronics,King-Miller,Strategic,1562.13,1342.36,737.86,9,219.77,8.94,12.37
TXN-1134,2026-01-01,MOTOR-X,Electronics,"Williams, Crane and Walker",Distributor,1507.77,1282.66,820.51,76,225.11,14.62,7.34
TXN-1135,2026-01-03,VALVE-22,Hydraulics,"Williams, Johnson and Wright",Retail,123.01,95.9,54.75,50,27.11,1.74,22.72
TXN-1136,2026-02-01,MOTOR-X,Electronics,"Hernandez, Martinez and Caldwell",Strategic,1519.21,1157.3,756.28,57,361.91,31.25,11.46
TXN-1137,2026-01-21,VALVE-22,Hydraulics,Marshall LLC,Strategic,118.14,113.59,64.7,77,4.55,3.7,25.59
TXN-1138,2026-01-29,PUMP-01,Industrial,Obrien Ltd,Mid-Market,523.43,513.4,264.21,25,10.03,19.37,14.53
TXN-1139,2026-01-27,VALVE-22,Hydraulics,Oconnell Inc,Retail,124.35,117.56,61.95,45,6.79,0.95,13.33
TXN-1140,2026-01-22,MOTOR-X,Electronics,Johnston-Odonnell,Strategic,1532.01,1221.87,816.26,74,310.14,53.63,11.9
TXN-1141,2026-01-14,PUMP-01,Industrial,"Gonzalez, Vargas and Rivas",Retail,511.66,393.39,261.02,63,118.27,3.79,13.13
TXN-1142,2026-01-09,PUMP-01,Industrial,"Barton, Jefferson and Burke",Retail,480.41,417.97,232.25,41,62.44,16.93,22.43
TXN-1143,2026-01-05,VALVE-22,Hydraulics,"Patton, Reed and Patterson",Mid-Market,121.97,97.09,61.4,61,24.88,3.94,7.68
TXN-1144,2026-01-14,MOTOR-X,Electronics,"Holland, Smith and Fisher",Retail,1444.96,1373.71,773.1,2,71.25,62.89,16.94
TXN-1145,2026-01-19,PUMP-01,Industrial,Yu-Reid,Strategic,476.1,464.62,268.75,8,11.48,5.49,26.1
TXN-1146,2026-01-31,VALVE-22,Hydraulics,"Hernandez, Thompson and Boyd",Retail,122.3,110.14,58.53,90,12.16,3.41,29.95
TXN-1147,2026-01-25,PUMP-01,Industrial,"Morton, Medina and Webb",Distributor,512.76,453.85,248.25,75,58.91,10.71,28.4
TXN-1148,2026-01-17,VALVE-22,Hydraulics,"Vargas, Morris and Sanchez",Strategic,120.73,98.71,56.96,74,22.02,1.76,24.52
TXN-1149,2026-02-04,HOSE-09,Accessories,Keith-Sanchez,Mid-Market,47.24,38.03,14.72,92,9.21,0.66,10.55
TXN-1150,2026-01-18,VALVE-22,Hydraulics,"Barnett, Rogers and Snyder",Retail,120.34,107.21,56.09,80,13.13,2.28,9.45
TXN-1151,2026-01-13,PUMP-01,Industrial,Lewis-Salinas,Strategic,486.14,433.46,273.74,68,52.68,9.52,24.32
TXN-1152,2026-01-13,VALVE-22,Hydraulics,"Haynes, Hill and Smith",Strategic,115.65,87.2,61.15,69,28.45,2.52,21.73
TXN-1153,2026-02-05,VALVE-22,Hydraulics,Allen Group,Mid-Market,118.65,92.25,65.64,14,26.4,4.36,10.07
TXN-1154,2026-01-19,HOSE-09,Accessories,Vaughn Ltd,Mid-Market,45.32,36.59,15.83,68,8.73,0.52,14.22
TXN-1155,2026-01-27,HOSE-09,Accessories,Mcguire-Davis,Mid-Market,44.02,34.71,15.58,9,9.31,1.19,28.76
TXN-1156,2026-01-09,MOTOR-X,Electronics,"Sanchez, Beck and Wood",Mid-Market,1540.1,1515.7,781.58,16,24.4,22.19,19.32
TXN-1157,2026-01-21,SEAL-05,Accessories,Coleman-Reese,Mid-Market,11.7,10.67,4.86,72,1.03,0.38,27.85
TXN-1158,2026-01-13,SEAL-05,Accessories,"Chavez, Parker and Hall",Distributor,12.21,10.49,5.19,99,1.72,0.52,22.56
TXN-1159,2026-01-27,PUMP-01,Industrial,Wilson-Herrera,Retail,478.24,477.06,231.62,92,1.18,8.99,11.8
TXN-1160,2026-01-29,PUMP-01,Industrial,Lee Ltd,Retail,488.77,406.35,233.44,99,82.42,0.68,18.03
TXN-1161,2026-01-18,SEAL-05,Accessories,"Lawrence, Wolf and Carlson",Retail,12.22,10.37,4.91,92,1.85,0.01,12.13
TXN-1162,2026-02-06,HOSE-09,Accessories,Phillips LLC,Retail,44.39,40.24,14.52,11,4.15,1.85,23.6
TXN-1163,2026-01-07,SEAL-05,Accessories,Erickson and Sons,Strategic,12.57,11.54,5.4,70,1.03,0.33,25.54
TXN-1164,2026-01-11,HOSE-09,Accessories,Tran Ltd,Mid-Market,43.32,35.06,15.48,15,8.26,1.48,16.15
TXN-1165,2026-02-04,MOTOR-X,Electronics,"Oneill, Henry and Salas",Strategic,1557.62,1409.44,721.12,6,148.18,24.2,17.53
TXN-1166,2026-01-22,SEAL-05,Accessories,Mendoza-Peterson,Retail,12.5,11.95,5.44,78,0.55,0.35,29.15
TXN-1167,2026-02-05,PUMP-01,Industrial,Everett-Woods,Mid-Market,517.95,406.07,266.09,69,111.88,2.8,9.77
TXN-1168,2026-01-31,HOSE-09,Accessories,Vasquez-Ray,Strategic,43.29,36.97,15.78,32,6.32,1.17,13.28
TXN-1169,2026-01-26,HOSE-09,Accessories,Hernandez PLC,Strategic,43.91,35.73,15.5,3,8.18,1.66,11.87
TXN-1170,2026-02-05,HOSE-09,Accessories,Mcknight Inc,Mid-Market,44.92,37.17,14.2,14,7.75,0.2,21.19
TXN-1171,2026-01-21,VALVE-22,Hydraulics,Obrien-Gibbs,Mid-Market,122.15,95.77,64.67,28,26.38,2.69,17.98
TXN-1172,2026-01-09,PUMP-01,Industrial,"James, Kerr and Evans",Retail,514.56,413.64,244.02,41,100.92,14.53,19.53
TXN-1173,2026-01-22,SEAL-05,Accessories,Torres-Oliver,Distributor,12.34,9.69,4.81,76,2.65,0.41,14.37
TXN-1174,2026-01-23,SEAL-05,Accessories,"Garcia, Farmer and Garrett",Strategic,12.19,10.06,5.05,67,2.13,0.18,11.9
TXN-1175,2026-01-10,VALVE-22,Hydraulics,Moore and Sons,Strategic,116.47,93.71,61.29,59,22.76,0.74,16.98
TXN-1176,2026-01-21,SEAL-05,Accessories,Smith Group,Distributor,12.18,9.55,4.71,61,2.63,0.48,21.26
TXN-1177,2026-01-26,SEAL-05,Accessories,Carter-Hall,Distributor,12.51,10.3,5.38,100,2.21,0.4,9.01
TXN-1178,2026-01-27,SEAL-05,Accessories,"Heath, Jones and Hall",Retail,11.79,10.68,5.06,99,1.11,0.48,5.32
TXN-1179,2026-01-10,HOSE-09,Accessories,"Lawrence, Lara and Gonzalez",Strategic,43.2,32.76,15.6,85,10.44,0.55,17.82
TXN-1180,2026-01-05,HOSE-09,Accessories,Holland LLC,Retail,44.98,39.25,16.4,57,5.73,0.6,22.18
TXN-1181,2026-01-31,PUMP-01,Industrial,Brown LLC,Strategic,519.43,422.54,249.18,74,96.89,19.94,13.9
TXN-1182,2026-01-23,VALVE-22,Hydraulics,"Morse, Gonzales and Harrison",Retail,114.69,112.72,59.22,44,1.97,1.15,15.87
TXN-1183,2026-01-12,PUMP-01,Industrial,Bender-Mason,Retail,516.05,492.64,228.84,16,23.41,0.27,9.33
TXN-1184,2026-01-19,MOTOR-X,Electronics,George Group,Mid-Market,1473.45,1350.41,822.98,24,123.04,1.4,10.39
TXN-1185,2026-01-28,MOTOR-X,Electronics,"Wright, Davis and Hayden",Mid-Market,1442.83,1126.81,802.8,35,316.02,31.83,29.12
TXN-1186,2026-01-31,PUMP-01,Industrial,"Matthews, Smith and Hubbard",Strategic,492.89,403.96,259.98,81,88.93,12.36,6.8
TXN-1187,2026-01-31,PUMP-01,Industrial,"Williams, Avila and Ruiz",Strategic,476.3,466.83,259.74,5,9.47,7.31,14.07
TXN-1188,2026-01-25,VALVE-22,Hydraulics,White-Richards,Distributor,124.9,94.16,56.14,21,30.74,3.95,23.75
TXN-1189,2026-01-24,PUMP-01,Industrial,Costa-Harrison,Strategic,524.01,467.9,246.13,19,56.11,4.88,5.45
TXN-1190,2026-01-16,HOSE-09,Accessories,Santiago-Hodge,Mid-Market,44.04,42.21,16.29,10,1.83,0.55,23.63
TXN-1191,2026-01-13,PUMP-01,Industrial,"Simpson, Bates and Morales",Distributor,475.66,366.97,274.93,24,108.69,6.54,10.75
TXN-1192,2026-01-29,MOTOR-X,Electronics,Gibson LLC,Mid-Market,1514.41,1354.01,768.94,13,160.4,1.5,25.0
TXN-1193,2026-01-10,SEAL-05,Accessories,Cordova Group,Strategic,12.36,10.33,5.35,71,2.03,0.16,5.93
TXN-1194,2026-02-02,VALVE-22,Hydraulics,Sandoval PLC,Mid-Market,123.09,112.47,63.72,10,10.62,1.08,28.76
TXN-1195,2026-01-18,PUMP-01,Industrial,Lopez LLC,Strategic,496.68,422.02,250.27,57,74.66,5.76,19.02
TXN-1196,2026-01-24,VALVE-22,Hydraulics,Garrett-Wolf,Mid-Market,119.08,118.42,62.42,31,0.66,0.51,12.66
TXN-1197,2026-01-08,HOSE-09,Accessories,"Anderson, Roberts and Gilmore",Strategic,46.4,39.72,15.11,60,6.68,1.83,17.12
TXN-1198,2026-01-18,MOTOR-X,Electronics,Dudley PLC,Strategic,1518.36,1451.98,858.27,73,66.38,14.07,8.51
TXN-1199,2026-01-30,SEAL-05,Accessories,"Moore, Pierce and Tran",Distributor,11.54,9.49,4.65,10,2.05,0.13,21.08
